Complaint,CodedMonth,DateOccur,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,CADAddress,CADStreet,XCoord,YCoord
18-032215,2018-07,6/10/2018 16:00,65701,4,LARCENY-MTR VEH PARTS UNDER $500,1511,WASHINGTON AVE,36,1511,WASHINGTON,905693.6,1019435
18-026281,2018-07,6/10/2018 16:53,204100,4,FAMILY & CHILD CRIME-ENDANGR WELF CHILD,0,N 9TH ST / CHESTNUT ST,35, , ,907616.8,1017455
18-026623,2018-07,6/11/2018 0:16,152200,5,WEAPONS-CITY VIOL/DISCHRGING IN CITY,3535,GOODFELLOW BLVD,50,3535,GOODFELLOW,885029.4,1038336
18-026630,2018-07,6/11/2018 0:45,152200,5,WEAPONS-CITY VIOL/DISCHRGING IN CITY,3340,GOODFELLOW BLVD,50,3340,GOODFELLOW,885188.8,1037567
18-026432,2018-07,6/11/2018 12:24,41011,3,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,3457,POTOMAC ST,19,3457,POTOMAC,894067.2,1005126
18-031687,2018-07,6/11/2018 13:00,112010,4,FRAUD-CREDIT DEVICE/OVER $150,3739,PAGE BLVD,77,3739,PAGE,897146.1,1024786
18-026474,2018-07,6/11/2018 16:30,92000,1,SIMPLE ASSAULT-HARRASSMENT,4200,MERAMEC,5,4200,MERAMEC,0,0
18-033166,2018-07,6/12/2018 2:15,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,6124,N BROADWAY,79,6124,BROADWAY,900558.8,1038456
18-026644,2018-07,6/12/2018 7:53,179210,3,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,3500,MINNESOTA AVE,19,3500,MINNESOTA,0,0
18-031988,2018-07,6/12/2018 9:10,51322,5,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,1922,SEMPLE AVE,50,1922,SEMPLE,885986.8,1033099
18-031795,2018-07,6/12/2018 10:16,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4720,S BROADWAY,17,4720,BROADWAY,895912.1,996407
18-034050,2018-07,6/12/2018 12:29,242000,1,DISORDERLY CONDUCT-HARRASSMENT (IF NO THREAT I,4539,MICHIGAN AVE,17,4539,MICHIGAN,894434.9,997854.6
18-031881,2018-07,6/12/2018 13:00,64701,2,LARCENY-FROM MTR VEH UNDER $500,6004,MARMADUKE AVE,11,6004,MARMADUKE,880156.1,1011002
18-033887,2018-07,6/12/2018 18:10,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1417,HICKORY LN,33,1417,HICKORY,904509.8,1013818
18-033864,2018-07,6/13/2018 9:30,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3430,S GRAND BLVD,25,3430,GRAND,893788.8,1005469
18-034026,2018-07,6/13/2018 12:00,69702,6,LARCENY-ALL OTHER UNDER $500,8746,PARK LN,73,8746,PARK,892522.2,1050476
18-032854,2018-07,6/13/2018 12:00,65701,6,LARCENY-MTR VEH PARTS UNDER $500,4729,GOODFELLOW BLVD,70,4729,GOODFELLOW,886999.3,1043270
18-033539,2018-07,6/13/2018 22:30,64701,6,LARCENY-FROM MTR VEH UNDER $500,0,EMILY ST / E OBEAR AVE,66, , ,902767.8,1033088
18-026931,2018-07,6/13/2018 23:00,32111,4,ROBBERY-RESIDENCE/FIREARM USED/SUCCESSFUL,208, ,35,208,9TH,0,0
18-026931,2018-07,6/13/2018 23:00,51211,4,BURGLARY-RESIDENCE/NIT/FORCE ENT/OCCUPIED,208, ,35,208,9TH,0,0
18-027143,2018-07,6/14/2018 5:00,51312,5,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,5461,DELMAR,49,5461,DELMAR,0,0
18-027143,2018-07,6/14/2018 5:00,67601,5,"LARCENY-FROM BUILDING $500 - $24,999",5461,DELMAR,49,5461,DELMAR,0,0
18-027002,2018-07,6/14/2018 12:00,151400,4,WEAPONS-STATE VIOL/DEFACED FIREARM,1000,SELBY PL,61,1000,SHELBY,906212.9,1020777
18-031679,2018-07,6/14/2018 15:00,69602,2,"LARCENY-ALL OTHER $500 - $24,999",4000,GRAVOIS AVE,15,4000,GRAVOIS,890749.3,1003870
18-027174,2018-07,6/14/2018 17:45,51312,3,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,3654,ILLINOIS AVE,18,3654,ILLINOIS,899479.5,1002981
18-027187,2018-07,6/15/2018 11:00,151130,2,WEAPONS-STATE VIOL/UNLWFL USE/CARRYING,4974,PARKER AVE,14,4974,PARKER,884774.5,1007004
18-031633,2018-07,6/15/2018 12:00,115100,6,FRAUD-STEALING BY DECEIT/OVER $150,3904,ASHLAND AVE,56,3904,ASHLAND,898846.8,1029826
18-032441,2018-07,6/15/2018 15:17,264100,5,HEALTH-SANITATION VIOL,5500,ASHLAND AVE,50,5567,GREER,887118.9,1036261
18-033883,2018-07,6/16/2018 14:07,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1465,RUTGER LN,33,1465,RUTGER,904108.4,1013424
18-031533,2018-07,6/16/2018 21:00,67601,4,"LARCENY-FROM BUILDING $500 - $24,999",700,CLARK AVE,35,601,CLARK,907901.1,1016212
18-033868,2018-07,6/17/2018 14:50,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3430,S GRAND BLVD,25,3430,GRAND,893788.8,1005469
18-033874,2018-07,6/17/2018 15:30,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3430,S GRAND BLVD,25,3430,GRAND,893788.8,1005469
18-027957,2018-07,6/17/2018 21:00,69702,3,LARCENY-ALL OTHER UNDER $500,2649,GRAVOIS,24,2649,GRAVOIS,0,0
18-027957,2018-07,6/17/2018 21:00,69602,3,"LARCENY-ALL OTHER $500 - $24,999",2649,GRAVOIS,24,2649,GRAVOIS,0,0
18-030875,2018-07,6/18/2018 0:01,112010,3,FRAUD-CREDIT DEVICE/OVER $150,3446,TENNESSEE AVE,30,3446,TENNESSEE,894450,1005141
18-027696,2018-07,6/18/2018 2:00,265321,4,LEAVING SCENE OF ACCIDENT,220,S TUCKER BLVD,35,919,JEFFERSON,906262.9,1016703
18-027610,2018-07,6/18/2018 2:30,41011,4,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,4500,BROADWAY,64,4949, ,0,0
18-027649,2018-07,6/18/2018 5:38,21000,1,RAPE -- FORCIBLE,4400,LOUISIANA AVE,16, , ,0,0
18-027659,2018-07,6/18/2018 8:52,82000,5,ARSON-2ND DEGREE/SUCCESS,1432,BELT AVE,78,1432,BELT,884901.6,1031573
18-027664,2018-07,6/18/2018 9:52,72113,6,AUTO THEFT-TRUCK/PERM RETNT/UNRECOV OVER 48HR,817,MCLARAN AVE,74,817,MCLARAN,897055.9,1049384
18-031549,2018-07,6/18/2018 13:00,21000,3,RAPE -- FORCIBLE,2700,HENRIETTA ST,31,2700,HENRIETTA,0,0
18-031968,2018-07,6/18/2018 16:00,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4600,CHIPPEWA ST,5,3763,MERAMEC,885747.1,1003901
18-033504,2018-07,6/18/2018 21:00,71013,6,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4117,ASHLAND AVE,56,4117,ASHLAND,897717.4,1030692
18-033168,2018-07,6/18/2018 23:56,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5310,N EUCLID AVE,71,5310,EUCLID,894542.1,1038824
18-033555,2018-07,6/19/2018 0:01,112010,4,FRAUD-CREDIT DEVICE/OVER $150,3906,N 23RD ST,65,3501,22ND,903539.3,1029744
18-027855,2018-07,6/19/2018 9:25,263299,4,OBSTRUCT GOVRN OP-JUDIC/OTHR UNSPC JUDIC VIOL,1525,CHOUTEAU AVE,36,1525,CHOUTEAU,903834.3,1014814
18-033170,2018-07,6/19/2018 10:00,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3720,N KINGSHIGHWAY BLVD,69,3720,KINGSHIGHWAY,891316,1035410
18-027918,2018-07,6/19/2018 12:30,182130,6,DRUGS-POSSESSION/HEROIN,4725,MARGARETTA AVE,69,4725,MARGARETTA,893493.9,1035094
18-032463,2018-07,6/19/2018 15:33,264100,5,HEALTH-SANITATION VIOL,5500,ASHLAND AVE,50,5500,ASHLAND,887115.4,1036264
18-031682,2018-07,6/19/2018 22:00,67701,5,LARCENY-FROM BUILDING UNDER $500,4567,WEST PINE BLVD,38,4567,WEST PINE,889042.8,1022411
18-033064,2018-07,6/20/2018 8:00,51312,1,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,6109,DEWEY AVE,3,6109,DEWEY,888850.8,995042.5
18-031058,2018-07,6/20/2018 12:00,69602,1,"LARCENY-ALL OTHER $500 - $24,999",5201,ALABAMA AVE,1,5201,ALABAMA,892555.7,996066.8
18-035536,2018-07,6/20/2018 12:55,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3548,S GRAND BLVD,19,3548,GRAND,893500.6,1004716
18-030465,2018-07,6/20/2018 15:00,64701,3,LARCENY-FROM MTR VEH UNDER $500,3445,ARSENAL ST,25,3445,ARSENAL,894711.4,1008364
18-035345,2018-07,6/20/2018 16:40,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3501,ITASKA ST,16,3501,ITASKA,892490.8,997846.3
18-028290,2018-07,6/21/2018 9:01,21000,1,RAPE -- FORCIBLE,4700,MICHIGAN AVE,17,4700,MICHIGAN,0,0
18-035504,2018-07,6/21/2018 11:45,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,2103,CASS AVE,60,2103,CASS,903833.6,1023597
18-029425,2018-07,6/21/2018 12:00,72113,6,AUTO THEFT-TRUCK/PERM RETNT/UNRECOV OVER 48HR,5333,BULWER,64,5333,BULWER,0,0
18-035525,2018-07,6/21/2018 13:15,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1033,MORRISON AVE,34,1033,MORRISON,905785.9,1013146
18-035556,2018-07,6/21/2018 17:09,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,2316,TEXAS AVE,24,2316,TEXAS,899236.3,1010047
18-032826,2018-07,6/21/2018 17:57,71013,2,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,1641,S KINGSHIGHWAY BLVD,12,1641,KINGSHIGHWAY,886712.8,1014540
18-028351,2018-07,6/21/2018 18:00,151130,4,WEAPONS-STATE VIOL/UNLWFL USE/CARRYING,916,MANHATTAN PL,62,3309,MANHATTAN,908580.1,1021740
18-033855,2018-07,6/21/2018 19:30,64711,1,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,6332,GARDENVILLE AVE,6,6332,GARDENVILLE,882545.1,998565
18-034193,2018-07,6/21/2018 21:00,64601,2,"LARCENY-FROM MTR VEH $500 - $24,999",4235,UTAH ST,15,4235,UTAH,888804.8,1007062
18-035126,2018-07,6/22/2018 9:00,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1421,HICKORY LN,33,1421,HICKORY,904245.2,1013903
18-035296,2018-07,6/22/2018 9:11,69702,1,LARCENY-ALL OTHER UNDER $500,4301,S 37TH ST,16,4301,37TH,892553.4,1000351
18-028457,2018-07,6/22/2018 10:26,182999,5,DRUGS-POSSESSION/OTHR UNSPEC DRUG,0,COTE BRILLIANTE AVE / HAMILTON,50, , ,882607.4,1034788
18-035522,2018-07,6/22/2018 16:30,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1033,MORRISON AVE,34,1033,MORRISON,905785.9,1013146
18-028608,2018-07,6/23/2018 1:00,83000,5,ARSON-KNOWINGLY BURNING/SUCCESS,4639,MARKET,56,4639,MARKET,0,0
18-028669,2018-07,6/23/2018 12:09,265321,1,LEAVING SCENE OF ACCIDENT,8117,VIOLAVIEW DR,1,8117,VIOLAVIEW,885044.8,989164.2
18-028730,2018-07,6/23/2018 19:15,265321,3,LEAVING SCENE OF ACCIDENT,0,LAFAYETTE AVE / TRUMAN PKWY,33, , ,903279.3,1012431
18-034066,2018-07,6/23/2018 23:00,64701,5,LARCENY-FROM MTR VEH UNDER $500,536,ROSEDALE AVE,46,536,ROSEDALE,878476.9,1027194
18-028809,2018-07,6/24/2018 10:49,265321,6,LEAVING SCENE OF ACCIDENT,0,CLARENCE AVE / ROSALIE ST,68, , ,898111.4,1036008
18-030798,2018-07,6/24/2018 12:00,103000,6,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,6342,LAURA AVE,76,6342,LAURA,887462.9,1044798
18-030350,2018-07,6/24/2018 16:00,69702,2,LARCENY-ALL OTHER UNDER $500,5861,NOTTINGHAM AVE,8,5861,NOTTINGHAM,878808.6,1002673
18-029399,2018-07,6/25/2018 0:01,65701,0,LARCENY-MTR VEH PARTS UNDER $500,0,UNKNOWN,0,919,JEFFERSON,0,0
18-028908,2018-07,6/25/2018 1:02,265321,5,LEAVING SCENE OF ACCIDENT,0,DELMAR BLVD / N TAYLOR AVE,38, , ,890637.1,1025747
18-031736,2018-07,6/25/2018 6:30,241100,5,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,609,CLARA AVE,47,609,CLARA,882264.8,1026647
18-032182,2018-07,6/25/2018 7:00,51312,1,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,4519,IDAHO AVE,16,4519,IDAHO,893597.9,998311.9
18-031610,2018-07,6/25/2018 7:00,91113,2,SIMPLE ASSAULT-ADULT/NO INJURY,3202,S KINGSHIGHWAY BLVD,15,3202,KINGSHIGHWAY,886045.3,1008369
18-031553,2018-07,6/25/2018 8:00,69702,5,LARCENY-ALL OTHER UNDER $500,5964,OAKHERST PL,48,5964,OAKHERST,880259.6,1031844
18-034403,2018-07,6/25/2018 9:00,71013,3,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,0,CHOUTEAU AVE / MISSOURI AVE,32, , ,901288.3,1015486
18-029011,2018-07,6/25/2018 14:05,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4116,PENNSYLVANIA AVE,16,4116,PENNSYLVANIA,895729.7,1000565
18-032079,2018-07,6/25/2018 15:00,69602,6,"LARCENY-ALL OTHER $500 - $24,999",1508,ORCHID AVE,73,1508,ORCHID,894030.1,1050985
18-035532,2018-07,6/25/2018 16:00,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3434,CALIFORNIA AVE,19,3434,CALIFORNIA,897405.4,1004786
18-033391,2018-07,6/25/2018 17:00,69702,6,LARCENY-ALL OTHER UNDER $500,5269,ROBIN AVE,72,5269,ROBIN,891142.7,1044102
18-029088,2018-07,6/25/2018 20:00,130000,3,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",3828,LOUISIANA AVE,16,3828,LOUISIANA,894391.2,1002661
18-033169,2018-07,6/25/2018 20:45,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5310,N EUCLID AVE,71,5310,EUCLID,894542.1,1038824
18-031013,2018-07,6/25/2018 21:00,65701,3,LARCENY-MTR VEH PARTS UNDER $500,0,ARKANSAS AVE / OSAGE ST,16,7707,ALASKA,893572.8,1001861
18-035541,2018-07,6/25/2018 22:10,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1919,S JEFFERSON AVE,24,1919,JEFFERSON,899651.5,1011937
18-029129,2018-07,6/25/2018 23:30,71013,3,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,3248,PENNSYLVANIA,30,3248,PENNSYLVANIA,0,0
18-033195,2018-07,6/26/2018 9:00,67701,6,LARCENY-FROM BUILDING UNDER $500,8421,CHURCH RD,74,8421,CHURCH,896270.3,1048946
18-029367,2018-07,6/26/2018 11:00,183130,4,DRUGS-SALE/HEROIN,1915,OLIVE ST,36,1915,OLIVE,903703.7,1019090
18-032470,2018-07,6/26/2018 12:00,264100,2,HEALTH-SANITATION VIOL,6982,MARQUETTE AVE,9,6982,MARQUETTE,874206,1007515
18-033872,2018-07,6/26/2018 12:57,92000,4,SIMPLE ASSAULT-HARRASSMENT,1411,N 7TH ST,62,1411,7TH,909398.9,1021437
18-031492,2018-07,6/26/2018 13:21,103000,1,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,5012,S 37TH ST,16,5012,37TH,890939.8,997964.4
18-029213,2018-07,6/26/2018 14:20,63701,6,LARCENY-SHOPLIFT UNDER $500,3720,N KINGSHIGHWAY BLVD,69,3720,KINGSHIGHWAY,891316,1035410
18-029382,2018-07,6/26/2018 16:00,51122,3,BURGLARY-RESIDENCE/DAY/UNLAW ENT/UNOCCUPIED,3922,LOUISIANA AVE,16,3922,LOUISIANA,894295,1002059
18-030277,2018-07,6/26/2018 17:30,67601,4,"LARCENY-FROM BUILDING $500 - $24,999",1531,PINE ST,36,1531,PINE,905381.8,1018367
18-029795,2018-07,6/26/2018 17:30,71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,2534,N GRAND BLVD,59,2534,GRAND,899572.2,1026783
18-029265,2018-07,6/26/2018 17:45,265321,3,LEAVING SCENE OF ACCIDENT,3309,ARSENAL ST,25,3309,ARSENAL,895389.3,1008266
18-029264,2018-07,6/26/2018 18:25,67701,4,LARCENY-FROM BUILDING UNDER $500,710,N 2ND ST,35,710,2ND,910429,1018494
18-035758,2018-07,6/27/2018 7:00,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4930,CHRISTY BLVD,5,4930,CHRISTY,884082.3,1001677
18-029951,2018-07,6/27/2018 8:00,51322,4,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,1406,N 16TH ST,61,1406,16TH,906237.2,1022347
18-029384,2018-07,6/27/2018 11:27,265100,6,SAFETY-FIREWORKS VIOLATION,4979,NATURAL BRIDGE AVE,69, , ,891403.6,1035206
18-030969,2018-07,6/27/2018 17:00,71013,1,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,3921,RANDALL ST,5,3921,RANDALL,889461.1,999321.6
18-029481,2018-07,6/27/2018 17:30,41013,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,9215,RIVERVIEW DR,75,9215,RIVERVIEW,900507.4,1055594
18-030396,2018-07,6/27/2018 17:40,266999,2,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,60,HAMPTON VILLAGE PLZ,7,60,HAMPTON VILLAGE,879568.8,1004479
18-029472,2018-07,6/27/2018 18:20,265321,3,LEAVING SCENE OF ACCIDENT,0,S COMPTON AVE / LONGFELLOW BLV,26, , ,896426.2,1011486
18-032504,2018-07,6/27/2018 19:00,67601,1,"LARCENY-FROM BUILDING $500 - $24,999",5719,DEWEY AVE,3,5719,DEWEY,889150.7,996033.3
18-029529,2018-07,6/27/2018 19:00,222300,4,LIQUOR LAWS-POSSESSION BY A MINOR,700,CLARK AVE,35,700,CLARK,907901.1,1016212
18-031474,2018-07,6/27/2018 19:30,67701,5,LARCENY-FROM BUILDING UNDER $500,4907,WEST PINE BLVD,38,4907,WEST PINE,888128.6,1022750
18-031458,2018-07,6/28/2018 1:00,67601,4,"LARCENY-FROM BUILDING $500 - $24,999",919,N JEFFERSON AVE,59,919,JEFFERSON,902219.7,1021301
18-029523,2018-07,6/28/2018 1:45,31111,6,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,5209,LILLIAN AVE,71,5000,GERALDINE,892574.4,1039842
18-031054,2018-07,6/28/2018 9:00,51312,1,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,5023,GOETHE AVE,6,5023,GOETHE,882556,1000022
18-030770,2018-07,6/28/2018 9:20,71013,6,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,8411,N BROADWAY,74,8411,BROADWAY,897197.8,1049424
18-031645,2018-07,6/28/2018 10:10,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,4725,ADKINS AVE,5,4725,ADKINS,887666.9,1000425
18-034215,2018-07,6/28/2018 11:48,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,4008,DELOR ST,5,4008,DELOR,888656.4,999334.8
18-031806,2018-07,6/28/2018 12:00,112010,6,FRAUD-CREDIT DEVICE/OVER $150,5017,RUSKIN AVE,71,5017,RUSKIN,892691.6,1039925
18-029714,2018-07,6/28/2018 13:00,67701,6,LARCENY-FROM BUILDING UNDER $500,4545,ALICE AVE,68,4545,ALICE,899964.2,1034288
18-030128,2018-07,6/28/2018 14:00,64701,5,LARCENY-FROM MTR VEH UNDER $500,4236,MCPHERSON AVE,38,4236,MCPHERSON,892323,1022906
18-030961,2018-07,6/28/2018 14:00,64701,4,LARCENY-FROM MTR VEH UNDER $500,0,ANGELICA ST / N BROADWAY,64, , ,906305.7,1032005
18-031459,2018-07,6/28/2018 15:00,71013,2,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,1048,HAMPTON AVE,41,1048,HAMPTON,881131.1,1018397
18-031459,2018-07,6/28/2018 15:00,71013,2,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,1048,HAMPTON AVE,41,1048,HAMPTON,881131.1,1018397
18-030805,2018-07,6/28/2018 15:30,69702,6,LARCENY-ALL OTHER UNDER $500,5624,ACME AVE,76,5624,ACME,889314.7,1047650
18-030634,2018-07,6/28/2018 16:00,72113,4,AUTO THEFT-TRUCK/PERM RETNT/UNRECOV OVER 48HR,0,N 25TH ST / SALISBURY ST,65, , ,903589.7,1028741
18-034429,2018-07,6/28/2018 16:00,71013,6,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4552,CARTER AVE,69,4552,CARTER,895745.1,1036305
18-030035,2018-07,6/28/2018 16:30,51312,1,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,1019,BATES ST,1,1019,BATES,890911.1,995745.1
18-032067,2018-07,6/28/2018 17:30,51122,5,BURGLARY-RESIDENCE/DAY/UNLAW ENT/UNOCCUPIED,5759,MCPHERSON AVE,46,5759,MCPHERSON,881220.1,1026048
18-029676,2018-07,6/28/2018 18:00,162000,6,PROSTITUTION-PATRONIZING,8654,ORIOLE ST,74,4014,UNION,894676.3,1049198
18-029733,2018-07,6/28/2018 18:15,41013,3,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,3155,MERAMEC ST,16,3155,MERAMEC,894647.6,1000362
18-030260,2018-07,6/28/2018 19:00,51322,5,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,5355,RIDGE AVE,78,5355,RIDGE,885494.8,1030925
18-030851,2018-07,6/28/2018 20:00,65701,5,LARCENY-MTR VEH PARTS UNDER $500,30,MARYLAND PLZ,38,30,MARYLAND,888098.3,1023746
18-030162,2018-07,6/28/2018 20:30,71013,3,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,3736,MINNESOTA AVE,19,3736,MINNESOTA,895786.1,1003026
18-033026,2018-07,6/28/2018 21:00,64701,2,LARCENY-FROM MTR VEH UNDER $500,6556,ODELL ST,11,6556,ODELL,877246.9,1010889
18-030205,2018-07,6/29/2018 8:00,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4133,GERMANIA ST,4,4133,GERMANIA,882646.4,992827.1
18-034386,2018-07,6/29/2018 8:00,69602,5,"LARCENY-ALL OTHER $500 - $24,999",4005,WESTMINSTER PL,38,4005,WESTMINSTER,893833.3,1022624
18-031738,2018-07,6/29/2018 9:00,67701,1,LARCENY-FROM BUILDING UNDER $500,7835,TENNESSEE PL,1,7835,TENNESSEE,886409.2,989643.9
18-029810,2018-07,6/29/2018 9:00,64701,6,LARCENY-FROM MTR VEH UNDER $500,5673,HILLER PL,76,5673,HILLER,890889,1047186
18-031998,2018-07,6/29/2018 9:00,69702,2,LARCENY-ALL OTHER UNDER $500,1605,THURMAN AVE,28,1605,THURMAN,891536.1,1014601
18-031738,2018-07,6/29/2018 9:00,67701,1,LARCENY-FROM BUILDING UNDER $500,7835,TENNESSEE PL,1,7835,TENNESSEE,886409.2,989643.9
18-030322,2018-07,6/29/2018 12:00,67701,6,LARCENY-FROM BUILDING UNDER $500,5975,SHERRY AVE,76,5975,SHERRY,888914.7,1044541
18-031168,2018-07,6/29/2018 12:00,51312,3,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,3429,KEOKUK ST,16,3429,KEOKUK,893946.3,1002477
18-031559,2018-07,6/29/2018 12:00,69702,4,LARCENY-ALL OTHER UNDER $500,3120,N PRAIRIE AVE,59,3120,PRAIRIE,899645,1029498
18-035546,2018-07,6/29/2018 14:19,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4138,PENNSYLVANIA AVE,16,4138,PENNSYLVANIA,895691.2,1000321
18-030062,2018-07,6/29/2018 15:00,71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,200,S BROADWAY,35,601,CLARK,908743.9,1016075
18-030849,2018-07,6/29/2018 15:00,67701,2,LARCENY-FROM BUILDING UNDER $500,6101,GOVERNMENT DR,82,6101,GOVERNMENT,881437.4,1021756
18-030440,2018-07,6/29/2018 15:40,41011,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,5429,ALGERNON ST,68,5429,ALGERNON,900896.8,1035614
18-030440,2018-07,6/29/2018 15:40,41014,6,ASSLT-AGGRAV-FIREARM-1ST-ADULT-DOMESTIC,5429,ALGERNON ST,68,5429,ALGERNON,900896.8,1035614
18-030974,2018-07,6/29/2018 16:00,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1020,LOUGHBOROUGH AVE,1,1020,LOUGHBOROUGH,888369.9,991903
18-031525,2018-07,6/29/2018 16:30,51312,1,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,5131,VERMONT AVE,1,5131,VERMONT,892918.8,995935
18-029781,2018-07,6/29/2018 16:57,265321,4,LEAVING SCENE OF ACCIDENT,0,BIDDLE ST / N TUCKER BLVD,62, , ,907408.5,1021063
18-030235,2018-07,6/29/2018 17:00,52312,5,BURGLARY-BUSINESS/UNK TIME/FORC ENT/UNOCCUPIED,848,N KINGSHIGHWAY BLVD,53,848,KINGSHIGHWAY,887992.3,1027106
18-029792,2018-07,6/29/2018 17:30,265321,4,LEAVING SCENE OF ACCIDENT,0,N GRAND BLVD / WASHINGTON AVE,77, , ,896858.3,1021621
18-030118,2018-07,6/29/2018 18:00,51312,6,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,5415,GERALDINE AVE,71,5415,GERALDINE,894131.6,1041345
18-030242,2018-07,6/29/2018 20:30,51322,2,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,3935,WINNEBAGO ST,15,3935,WINNEBAGO,890572,1004292
18-029820,2018-07,6/29/2018 20:55,265321,6,LEAVING SCENE OF ACCIDENT,0,FAIR AVE / LEE AVE,68, , ,898588.6,1033377
18-031703,2018-07,6/29/2018 21:30,64711,5,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,4497,PERSHING AVE,38,4497,PERSHING,889826.8,1023940
18-029841,2018-07,6/29/2018 23:45,265321,4,LEAVING SCENE OF ACCIDENT,0,W FLORISSANT AVE / N GRAND BLV,67,4208,CARTER,902675.7,1032609
18-030027,2018-07,6/30/2018 1:00,69602,6,"LARCENY-ALL OTHER $500 - $24,999",5536,PLOVER AVE,72,5536,PLOVER,892827.7,1044182
